1000_ep0.0075_0_gilbert_1.in,994,5,DG,994,6,DL
1000_ep0.0075_0_gilbert_10.in,995,5,DG,995,5,DL
1000_ep0.0075_0_gilbert_2.in,995,5,DG,995,5,DL
1000_ep0.0075_0_gilbert_3.in,994,5,DG,994,6,DL
1000_ep0.0075_0_gilbert_4.in,994,6,DG,1,0,DL
1000_ep0.0075_0_gilbert_5.in,994,5,DG,994,5,DL
1000_ep0.0075_0_gilbert_6.in,994,6,DG,993,6,DL
1000_ep0.0075_0_gilbert_7.in,994,5,DG,994,6,DL
1000_ep0.0075_0_gilbert_8.in,994,5,DG,994,5,DL
1000_ep0.0075_0_gilbert_9.in,995,5,DG,994,5,DL
1000_ep0.0125_0_gilbert_1.in,996,4,DG,996,4,DL
1000_ep0.0125_0_gilbert_10.in,995,5,DG,995,5,DL
1000_ep0.0125_0_gilbert_2.in,996,4,DG,996,4,DL
1000_ep0.0125_0_gilbert_3.in,996,4,DG,996,4,DL
1000_ep0.0125_0_gilbert_4.in,996,4,DG,995,4,DL
1000_ep0.0125_0_gilbert_5.in,996,4,DG,996,4,DL
1000_ep0.0125_0_gilbert_6.in,996,4,DG,996,4,DL
1000_ep0.0125_0_gilbert_7.in,996,4,DG,996,4,DL
1000_ep0.0125_0_gilbert_8.in,996,4,DG,996,4,DL
1000_ep0.0125_0_gilbert_9.in,996,4,DG,996,4,DL
1000_ep0.01_0_gilbert_1.in,996,4,DG,996,4,DL
1000_ep0.01_0_gilbert_10.in,996,4,DG,995,4,DL
1000_ep0.01_0_gilbert_2.in,995,4,DG,995,4,DL
1000_ep0.01_0_gilbert_3.in,995,5,DG,995,5,DL
1000_ep0.01_0_gilbert_4.in,995,4,DG,995,4,DL
1000_ep0.01_0_gilbert_5.in,995,5,DG,995,5,DL
1000_ep0.01_0_gilbert_6.in,995,5,DG,995,5,DL
1000_ep0.01_0_gilbert_7.in,996,4,DG,996,4,DL
1000_ep0.01_0_gilbert_8.in,995,5,DG,995,5,DL
1000_ep0.01_0_gilbert_9.in,995,5,DG,995,5,DL
100_ep0.05_0_gilbert_1.in,94,5,DG,93,6,DL
100_ep0.05_0_gilbert_10.in,95,5,DG,94,5,DL
100_ep0.05_0_gilbert_2.in,95,5,DG,95,5,DL
